Domain,Website Status,SPF,DKIM,DMARC
dcu.ie,Live (HTTP),v=spf1 include:_spf.google.com ip4:136.206.1.100 ip4:198.187.196.100 ip4:193.120.143.134 include:spf-eu.exlibrisgroup.com include:spf.protection.outlook.com include:mail.zendesk.com ~all,Not found,v=DMARC1; p=reject; rua=mailto:dmarc@dcu.ie, mailto:xp52vxju@ag.eu.dmarcian.com
ul.ie,Live (HTTP),v=spf1 ip4:139.60.152.0/22 include:spf.protection.outlook.com include:spf.topdesk.net ip4:195.154.27.41 ip4:149.202.76.209 ip4:193.120.142.176 ip4:193.120.143.134 ip4:193.120.143.138 ip4:193.1.100.0/21 include:spf1.ul.ie -all,Not found,v=DMARC1; p=quarantine; rua=mailto:dmarc_reporting@ul.ie;
hse.ie,Live (HTTPS),v=spf1 include:spf.topsec.com include:spf.protection.outlook.com include:spf1.hse.ie include:spf2.hse.ie -all,Not found,v=DMARC1;p=reject;sp=none;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;fo=1
maps.ie,Live (HTTP),v=spf1 a mx include:websitewelcome.com ~all,Not found,v=DMARC1; p=none; rua=mailto:22e20d449197410cbc82057764eda0ac@dmarc-reports.cloudflare.net
donedeal.ie,Live (HTTP),v=spf1 ip4:149.72.210.83 ip4:149.72.184.117 include:_spf.google.com a:zgateway.zuora.com include:_spf.salesforce.com include:mail.zendesk.com include:email.chargebee.com -all,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCpz3B1yWso75OCO4TvJ50DY4KcjIpD+OBPImqY/sNKX/UORr4q4FYmazKFmSUUIKWfrQYmGxg7guoRMlQX9NJATd1WLuFrHr9YUCNfbluae5aV8sdQDGMJpUdyNgJUjcqujEcLk2AQtUf747RtYbSQf5tYNr2O3ajjgClKP6oOSQIDAQAB,v=DMARC1; p=quarantine; pct=100; fo=1:d:s; ruf=mailto:ruf.reports@donedeal.ie; rua=mailto:72b3fb4445644e53a9e38eb117c195ef@dmarc-reports.cloudflare.net;
ebay.ie,Live (HTTP),v=spf1 mx include:s._spf.ebay.com include:p._spf.ebay.com include:c._spf.ebay.com ~all,Not found,v=DMARC1; p=reject; rua=mailto:ebay@rua.agari.com; ruf=mailto:ebay@ruf.agari.com; fo=1; rf=afrf; pct=100
gps.ie,Live (HTTP),Not found,Not found,v=DMARC1; p=none; rua=mailto:f263701bd38742768ac10ccaaed13414@dmarc-reports.cloudflare.net
eventbrite.ie,Live (HTTP),v=spf1 a ip4:204.14.232.0/22 ip4:64.18.0.0/20 ip4:207.126.144.0/20 ip4:74.125.148.0/22 include:_spf.google.com include:authsmtp.com ~all,d3o36vj0gwxqjp.cloudfront.net.,v=DMARC1; p=reject; rua=mailto:hy2b5-8539@rua.dmarc.emailanalyst.com,mailto:mailto:dmarc_agg@vali.email; ruf=mailto:hy2b5-8539@ruf.dmarc.emailanalyst.com
citizensinformation.ie,No response,v=spf1 include:spf.protection.outlook.com -all,Not found,v=DMARC1; p=reject; pct=100; rua=mailto:dmsqjy1g@ag.eu.dmarcian.com; ruf=mailto:dmsqjy1g@fr.eu.dmarcian.com; sp=reject; fo=1;
iol.ie,Live (HTTP),v=spf1 a a:mail.iol.ie a:webmail.email.hosting include:spf.blacknight.ie ~all,Not found,Not found
blogspot.ie,Live (HTTP),v=spf1 -all,blogspot.l.googleusercontent.com.,v=DMARC1; p=reject; rua=mailto:mailauth-reports@google.com
very.ie,No response,v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com ~all,Not found,_dmarc.very.ie.dmarc.has.pphosted.com.v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com;
tripadvisor.ie,Live (HTTP),v=spf1 include:_spf.tripadvisor.com ~all,Not found,v=DMARC1; p=reject; rua=mailto:dmarc-rua@tripadvisor.com; ruf=mailto:dmarc-ruf@tripadvisor.com
entertainment.ie,Live (HTTP),v=spf1 a ip4:82.195.132.87 include:servers.mcsv.net ?all,Not found,Not found
breakingnews.ie,No response,Not found,Not found,v=DMARC1; p=reject; pct=100; rua=mailto:e8014602@mxtoolbox.dmarc-report.com; ruf=mailto:e8014602@forensics.dmarc-report.com; fo=1
evoke.ie,Live (HTTP),v=spf1 include:amazonses.com include:spf.protection.outlook.com include:spf.mandrillapp.com include:servers.mcsv.net -all,Not found,v=DMARC1; p=reject; rua=mailto:6c46e6998a6d330@rep.dmarcanalyzer.com; ruf=mailto:6c46e6998a6d330@for.dmarcanalyzer.com; fo=1;
nuigalway.ie,Live (HTTP),v=spf1 ip4:95.172.90.143 ip4:95.172.90.156 ip4:206.132.28.57 ip4:92.52.102.162 ip4:206.132.28.20 ip4:140.203.202.74 ip4:140.203.12.209  include:spf.protection.outlook.com ip4:82.195.135.109 ip4:147.197.215.112 ip4:80.93.26.177 include:listserv.heanet.ie include:spf-eu.exlibrisgroup.com include:mh.blackboard.com  ip4:193.120.143.70 ip4:193.120.252.86 include:servers.mcsv.net -all,Not found,v=DMARC1; p=quarantine; rua=mailto:DMARC@universityofgalway.ie;
dfa.ie,Live (HTTPS),v=spf1 mx a:ext0.dfa.ie a:ext1.dfa.ie a:ext2.dfa.ie a:dujr-smtp.dfa.ie ip4:62.23.128.139 ip4:137.191.224.106 ip4:137.191.245.20 ip4:83.70.105.34 ip4:137.191.224.68 a:dfat.ie include:customers.clickdimensions.com ~all,Not found,v=DMARC1; p=none; rua=mailto:demarkreports@dfa.ie,mailto:c51ff3cfbb@rua.easydmarc.eu; ruf=mailto:demarkreports@dfa.ie,mailto:c51ff3cfbb@ruf.easydmarc.eu; sp=none; fo=1; ri=86400
gov.ie,Live (HTTPS),v=spf1 -all,v=spf1 -all,v=spf1 -all
universityofgalway.ie,Live (HTTP),v=spf1 ip4:95.172.90.143 ip4:95.172.90.156 ip4:206.132.28.57 ip4:92.52.102.162 ip4:206.132.28.20 ip4:140.203.202.74  include:spf.protection.outlook.com ip4:82.195.135.109 ip4:147.197.215.112 ip4:80.93.26.177 include:listserv.heanet.ie include:spf-eu.exlibrisgroup.com ip4:46.249.61.0/24  ip4:193.120.143.134 ip4:193.120.143.165 ip4:193.120.142.176 ip4:193.120.252.86 include:servers.mcsv.net ip4:149.72.228.91 include:_spf.distribution.vueliopm.com ~all,Not found,v=DMARC1; p=quarantine; rua=mailto:DMARC@universityofgalway.ie;
dublinlive.ie,Live (HTTPS),v=spf1 include:_spf.google.com ~all,Not found,v=DMARC1; p=quarantine; sp=quarantine; rua=mailto:dmarc@dublinlive.ie; adkim=r; aspf=s
akeo.ie,Live (HTTP),v=spf1 include:_spf.google.com ~all,Not found,v=DMARC1; p=reject; rua=mailto:dmarc@akeo.ie
adverts.ie,No response,v=spf1 include:_spf.google.com include:amazonses.com -all,Not found,v=DMARC1; p=quarantine; pct=100; sp=reject; rua=mailto:ee1d4de72df140ce9e3e1144dfe9827d@dmarc-reports.cloudflare.net;
revenue.ie,Live (HTTP),v=spf1 mx include:spf.protection.outlook.com ip4:137.191.250.132 ip4:137.191.241.164 ip4:194.165.190.106 -all,Not found,v=DMARC1; p=none; pct=100; rua=mailto:dmarc-rua@revenue.ie
maynoothuniversity.ie,Live (HTTP),v=spf1 include:spf.protection.outlook.com ip4:149.157.0.0/22 ip4:149.157.7.0/24 ip4:149.157.67.0/24 ip4:65.52.155.116 -all,Not found,Not found
extra.ie,Live (HTTP),v=spf1 include:_spf.wpvip.com include:amazonses.com a mx include:aspmx.sailthru.com -all,Not found,v=DMARC1; p=reject; rua=mailto:6c46e6998a6d330@rep.dmarcanalyzer.com; ruf=mailto:6c46e6998a6d330@for.dmarcanalyzer.com; fo=1;
irishstatutebook.ie,No response,Not found,Not found,Not found
cso.ie,Live (HTTPS),v=spf1 ip4:137.191.243.106 ip4:137.191.243.101 ip4:137.191.243.97 include:spf.topsec.com include:amazonses.com include:spf.protection.outlook.com include:_spf.mlsend.com -all,Not found,v=DMARC1; p=reject; rua=mailto:postmaster@cso.ie,mailto:cso_ie@rua.netcraft.com; ruf=mailto:postmaster@cso.ie,mailto:cso_ie@ruf.netcraft.com; fo=1; adkim=r; aspf=r; pct=100; rf=afrf; ri=86400
oireachtas.ie,Live (HTTPS),v=spf1 mx ip4:108.128.104.125 ip4:52.31.245.96 ip4:34.253.70.226 ip4:137.191.234.106 ip4:137.191.234.105 ip4:137.191.236.142 include:spf.sendinblue.com include:spf.protection.outlook.com include:amazonses.com include:sendgrid.net include:servers.mcsv .net -all,Not found,v=DMARC1; p=reject; rua=mailto:dmarc_agg@vali.email; fo=s;
bmcsports.ie,Live (HTTP),v=spf1 a mx include:spf.protection.outlook.com include:ranges.visualsoft.co.uk include:ranges2.visualsoft.co.uk ~all,Not found,v=DMARC1; p=none; rua=mailto:rua@dmarc.brevo.com
joe.ie,Live (HTTP),v=spf1 include:spf.protection.outlook.com include:_spf.google.com include:sendgrid.net include:spf.EU.exclaimer.net ~all,Not found,v=DMARC1;  p=none; rua=mailto:9b86a8ae33a7444595ad70dbb328be32@dmarc-reports.cloudflare.net
centralbank.ie,Live (HTTP),v=spf1 mx ip4:217.182.232.170/32 ~all,Not found,v=DMARC1; p=quarantine; fo=1; rua=mailto:dmarc@centralbank.ie; ruf=mailto:dmarc@centralbank.ie; adkim=r
rsvplive.ie,Live (HTTPS),v=spf1 include:_spf.google.com ~all,Not found,v=DMARC1; p=quarantine; sp=quarantine; rua=mailto:dmarc@rsvplive.ie; adkim=r; aspf=s
cumminssports.ie,Live (HTTP),v=spf1 a mx include:relay.mailchannels.net include:spf.protection.outlook.com include:mailgun.org ~all,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDcbOn0wvcqE8bLRAlbifgQNwSxllvKlxCw5RNI12g/+IUAj6gQWZ8VWQRGPLsveYW3wKVO9ar5F0jATJzBwBVsGay9nqOwRMgwa+bhg0vxulsJXl6DAvhYPQ6GDK2MZ8i43i86It6qTes8kGwUdR0SluItw2RzbMGl871bCZ4DwwIDAQAB;,v=DMARC1; p=none; rua=mailto:9df42002268d44f088964dc9c58d34e6@dmarc-reports.cloudflare.net,mailto:dmarc@cumminssports.ie; ruf=mailto:dmarc@cumminssports.ie; fo=1
elverys.ie,Live (HTTP),v=spf1 a mx ip4:185.57.113.74 ip4:82.141.205.1 ip4:62.209.54.82 ip4:62.209.54.83 ip4:62.209.54.84 include:spf.mailanyone.net include:spf.mandrillapp.com include:mail.zendesk.com include:spf.protection.outlook.com include:spf.givex.com -all,Not found,v=DMARC1; p=none; rua=mailto:dmarcreports@elverys.ie
pinterest.ie,Live (HTTP),v=spf1 redirect=_spf.pinterest.ie,Not found,v=DMARC1; p=reject; adkim=s; aspf=s;
rasset.ie,Live (HTTP),v=spf1 -all,v=DKIM1; p=,v=DMARC1; p=reject; sp=reject;
her.ie,Live (HTTP),v=spf1 include:spf.protection.outlook.com include:_spf.google.com include:sendgrid.net include:spf.EU.exclaimer.net ~all,Not found,Not found
tudublin.ie,Live (HTTP),v=spf1 include:spf.protection.outlook.com include:spf1.tudublin.ie include:spf2.tudublin.ie include:spf3.tudublin.ie include:spf.elluciancloud.com include:mail.zendesk.com include:_spf.createsend.com include:a._spf.brightspace.com -all,Not found,v=DMARC1; p=reject; rua=mailto:xydjhcdp@ag.eu.dmarcian.com;
halfords.ie,Live (HTTP),v=spf1 include:production.eu01.halfords.demandware.net a:production.eu01.halfords.demandware.net ?all,Not found,Not found
irishrail.ie,Live (HTTP),v=spf1 ip4:194.106.151.242 include:_netblocks.mimecast.com include:spf.protection.outlook.com include:mktomail.com include:amazonses.com include:spf.amris.com include:spf_c.oraclecloud.com -all,Not found,v=DMARC1; p=reject; rua=mailto:1682ed89ae77559@rep.dmarcanalyzer.com; ruf=mailto:1682ed89ae77559@for.dmarcanalyzer.com; fo=1;
emp.ie,Live (HTTP),v=spf1 include:de._netblocks.mimecast.com include:amazonses.com ~all,Not found,v=DMARC1; p=reject; rua=mailto:22f629d9e0ea718@rep.dmarcanalyzer.com; ruf=mailto:22f629d9e0ea718@for.dmarcanalyzer.com; fo=1;
kenblack.ie,Live (HTTP),v=spf1 a mx include:spf.protection.outlook.com -all,Not found,v=DMARC1; p=none;
heritageireland.ie,Live (HTTPS),v=spf1 include:amazonses.com -all,Not found,Not found
ticketmaster.ie,Live (HTTP),Not found,Not found,v=DMARC1; p=quarantine; rua=mailto:dmarc_agg@vali.email;
fightstoredublin.ie,Live (HTTP),v=spf1 a:mail.anu.net a:spamtitan.anu.net ip4:83.98.160.130 ip4:83.98.160.49 include:mailgun.org -all,Not found,v=DMARC1; p=reject;
screwfix.ie,Live (HTTPS),Not found,Not found,v=DMARC1; p=reject; rua=mailto:102b7a32a370252@rep.dmarcanalyzer.com; ruf=mailto:102b7a32a370252@for.dmarcanalyzer.com; fo=1;
discoverireland.ie,Live (HTTPS),Not found,Not found,Not found
irishtechnews.ie,Live (HTTP),v=spf1 +a +mx +include:spf.antispamcloud.com -all,Not found,v=DMARC1; p=none; rua=mailto:7c088ce13f2b4ba0a488ddff3a74ed75@dmarc-reports.cloudflare.net
boards.ie,Live (HTTP),v=spf1 ip4:208.117.49.186  include:amazonses.com -all,Not found,v=DMARC1; p=quarantine; pct=50; rua=mailto:oiwpvb1g@ag.dmarcian-eu.com;
businesspost.ie,Live (HTTP),Not found,v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAnLYAQnTSvQFwr3jKuT+V3cRSHCe0PwRuadJc1B18g1H7loQJwq1EP32sjLc5KL0L6+2HzkX0hOnNDQu3gvgLY6VXK6QHJAVXuEa8NoUSxUTHYEEh514kU9BWGnqH94mUPNMngjGZuv/2pGGQ9tOuQBVI5KeKjnzPfpuB8d1/DHV7UEk5TgR+MRqDUrXz8JQf2 /CefsI0lElQQZFa6hyL/zmQvS3uuYuhPsEQhRr+nrFQQZboM16HTfkMWOc2/dUGKyK6RencExZsK4DNFsqcFnlMn5DsKayqyD0I54qDDaX+RsDM4Nukul+6JmUoFnqG2HdTAmwC7ttSdV7E70ifVQIDAQAB;,v=DMARC1; p=quarantine; rua=mailto:149844757bd94e31a1f692f11fd51abd@dmarc-reports.cloudflare.net;
dit.ie,Live (HTTP),Not found,Not found,v=DMARC1; p=reject; rua=mailto:xydjhcdp@ag.eu.dmarcian.com;
dublincity.ie,Live (HTTP),Not found,Not found,v=DMARC1;p=reject;sp=reject;adkim=s;aspf=s;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;fo=1
mamasandpapas.ie,Live (HTTP),v=spf1 -all,Not found,v=DMARC1; p=reject; pct=100; fo=1; ri=3600; rua=mailto:b6abe63b@inbox.ondmarc.com; ruf=mailto:b6abe63b@inbox.ondmarc.com;
heidi.ie,Live (HTTPS),v=spf1 a mx ip4:65.108.229.89 ip6:2a01:4f9:1a:a95d:0:0:0:2 a:srv138.denizon.online -all,Not found,v=DMARC1;p=quarantine; sp=quarantine; rua=mailto:control@eshopdesigner.com; ruf=mailto:control@eshopdesigner.com
gaa.ie,Live (HTTP),Not found,v=DKIM1;h=sha256;k=rsa; s=email;p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAoCb8lcBDI3u69CvKnU9xbt3ltMxXrU3boNNQSdGlTOGvg0xMvVK3noBl+l01E+GU7BCypERlsbGYMc/OtKJmb3XqZmm+p9PSZWbH1nowyK0pWrsqxVKw+TUAfKSvKh2TjO24LoZ1bDcMY7oj7D7DxJuGCxDMPLbtyhi0ZyEp2C6ixj6fR LHpwlxR+5ceBa1wgHLHVKDgy+um5eHnhE25N9pcxFOsRreXPCxVEUsewg4nWvPt5VcY0MBV8X7YOex+CITb11y7fk7lByOGO7rg+lrFHzBEMkMHjBjGQKn6BNfThbuizePSLuU2c7clYnvTSPIIQuBCksfpmhcyRkvgqwIDAQAB,v=DMARC1; p=quarantine; sp=quarantine; rua=mailto:dmarc_agg@vali.email;
drugs.ie,Live (HTTPS),Not found,Not found,Not found
mytown.ie,Live (HTTPS),Not found,Not found,Not found
ireland.ie,No response,Not found,Not found,Not found
pavers.ie,Live (HTTP),v=spf1 include:shops.shopify.com include:spf.protection.outlook.com ~all,Not found,Not found
daft.ie,Live (HTTP),Not found,Not found,v=DMARC1; p=quarantine; pct=100; fo=1:d:s; ruf=mailto:ruf.reports@daft.ie; rua=mailto:478d35d81a2c4aa0a59d65a319c151ea@dmarc-reports.cloudflare.net;
skechers.ie,Live (HTTP),Not found,Not found,Not found
limerickleader.ie,Live (HTTP),v=spf1 ip4:195.59.103.140/30 ip4:195.59.103.208/29 include:_spf.google.com include:maxemail.emailcenteruk.com include:servers.mcsv.net -all,Not found,Not found
weddingsonline.ie,Live (HTTP),Not found,Not found,v=DMARC1; p=none; pct=100; rua=mailto:re+sgrtpm9kr4r@dmarc.postmarkapp.com; sp=none; aspf=r;
shoehorn.ie,Live (HTTP),v=spf1 +a +mx ip4:83.138.8.118 ip4:83.138.8.111 +ip4:83.138.8.86 +ip4:83.138.8.160 ~all,v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAqP1cWfwBWprZMJ2D9NyyW2e03x6vvVfocfOoYiowuSwd7WU4WHEnoMjvVoFZwCPIujEAsZ43iZBFehQRvefypMRnZaegRyqAkrVgsFuQRnOR6v14CKSenC7/ucfbacHRfg9eSKoWWmELzHuoJulL/SJIIEZ7QRV08cfWnNamtSD6c+qCNOQI7CFa8WNL ObBCbHNzxISXQVVspW+9AtC+VG2+aHq+i7JDtO3RJ/Jw10rfJdHwd97ZLK1gGK8OYAU7Afz2j67crk8JDcHY4DID1l7P42T1RESuuYyPSjaM10BxTF10zMI1j/ls5+oLfnL8v8EP93nXc16JxlcWTPm4RwIDAQAB;,v=DMARC1; p=none; rua=mailto:094e50b9fd6746fb9a489f85b2280b6b@dmarc-reports.cloudflare.net;
batemansfootwear.ie,Live (HTTP),v=spf1 include:spf.protection.outlook.com -all,Not found,Not found
met.ie,Live (HTTP),v=spf1 ip4:137.191.237.80/28 ip4:137.191.228.112/28 include:spf.protection.outlook.com -all,Not found,v=DMARC1; p=quarantine; rua=mailto:itops@met.ie; ruf=mailto:itops@met.ie; fo=1;
nli.ie,Live (HTTP),v=spf1 a:dispatch-eu.ppe-hosted.com include:spf.protection.outlook.com ip4:137.191.242.53 mx ~all,Not found,v=DMARC1; p=quarantine; pct=100
museum.ie,Live (HTTP),Not found,Not found,v=DMARC1; p=quarantine; sp=none; rua=mailto:re+422772d9e3f1@inbound.dmarcdigests.com; pct=100; ruf=mailto:emailreports@museum.ie;
cyclesuperstore.ie,Live (HTTP),v=spf1 a:icpbounce.com ip4:46.51.177.226 include:spf.protection.outlook.com -all,Not found,v=DMARC1; p=none; rua=mailto:jakubslowinski@gmail.com
teagasc.ie,Live (HTTPS),Not found,Not found,v=DMARC1;p=reject;sp=reject;rua=mailto:postmaster@teagasc.ie;ruf=mailto:postmaster@teagasc.ie;fo=1
irishimmigration.ie,Live (HTTP),v=spf1 include:_spf.google.com ~all,Not found,v=DMARC1; p=quarantine; rua=mailto:deptjusticepagemaster@gmail.com
balls.ie,Live (HTTP),v=spf1 include:_spf.google.com ~all,Not found,v=DMARC1; p=quarantine; rua=mailto:brian@balls.ie
epa.ie,Live (HTTPS),Not found,Not found,_dmarc.epa.ie._dmarc.smart.ondmarc.com.v=DMARC1; p=reject; pct=100; sp=reject; rua=mailto:a1a4cdb6@inbox.ondmarc.com; ruf=mailto:a1a4cdb6@inbox.ondmarc.com; adkim=r; aspf=r; fo=1; rf=afrf; ri=3600
worldofwondertoys.ie,Live (HTTP),Not found,Not found,v=DMARC1; p=none;
the42.ie,Live (HTTP),v=spf1 include:servers.mcsv.net include:_spf.google.com include:spf.mandrillapp.com ~all,Not found,v=DMARC1; p=quarantine; ruf=mailto:dmarc@kk4u0r9n.uriports.com; rua=mailto:dmarc@kk4u0r9n.uriports.com; fo=1; adkim=s; aspf=s;
cycletribe.ie,Live (HTTP),v=spf1 +a +mx +ip4:91.109.242.144 +ip4:193.105.120.8 +include:_spf.google.com ~all,Not found,v=DMARC1; p=none; rua=mailto:dmarc-reports@cycletribe.ie
shoppingcompanion.ie,Live (HTTP),Not found,Not found,Not found
excelclothing.ie,Live (HTTPS),Not found,Not found,Not found
clubllondon.ie,Live (HTTP),v=spf1 include:eu._netblocks.mimecast.com include:spf.protection.outlook.com include:shops.shopify.com include:mail.zendesk.com ~all,Not found,v=DMARC1; p=none; rua=mailto:7c91ee1b@mxtoolbox.dmarc-report.com; ruf=mailto:7c91ee1b@forensics.dmarc-report.com; fo=1
walshbrothersshoes.ie,Live (HTTP),v=spf1 a mx include:spf.irishdomains.com ~all,Not found,Not found
boots.ie,Live (HTTP),v=spf1 mx exists:%{i}.spf.WBA.c3s2.iphmx.com include:spf.protection.outlook.com ~all,Not found,v=DMARC1; p=none; rua=mailto:6193e7442fb3728@rep.dmarcanalyzer.com,mailto:dmarc@wbaoneit.com; ruf=mailto:6193e7442fb3728@for.dmarcanalyzer.com,mailto:dmarc@wbaoneit.com; fo=1;
hsa.ie,Live (HTTP),v=spf1 a mx ip4:68.232.152.249 ip4:68.232.151.208 include:spf.protection.outlook.com ~all,Not found,v=DMARC1; p=none;
ccpc.ie,Live (HTTP),v=spf1 mx include:spf.topsec.com include:_spf.createsend.com include:mailgun.org include:spf.protection.outlook.com ip4:79.140.128.42 ip4:137.191.224.104 a:ext2.dfa.ie -all,Not found,v=DMARC1;p=reject;sp=reject;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;fo=1
vavavoom.ie,Live (HTTP),v=spf1 include:_spf.google.com  include:shops.shopify.com include:sendgrid.net ~all,Not found,v=DMARC1; p=none;
heanet.ie,Live (HTTP),v=spf1 mx a:listserv.heanet.ie a:mail.heanet.ie include:spf.protection.outlook.com   a:goodly.heanet.ie   a:filesenderv2-prod-bl-01.heanet.ie a:filesenderv2-prod-pw-01.heanet.ie   ip4:193.1.187.229 ip4:193.1.193.205 ip4:193.1.200.116 ip4:193.1.201.158 ip4:193.1.204.182 ip4:193.1.204.215   ip4:193.1.204.34 ip6:2001:770:18:10::c101:bbe5 ip6:2001:770:1c:10::c101:c874 ip6:2001:770:1c:29::c101:ccd7 ip6:2001:770:f8:2::c101:c99e ip4:87.44.44.220   ip4:193.1.219.50 ip6:2001:770:18:2::c101:db32  ip4:193.1.248.74 ip6:2001:770:1c:2::c101:f84a  ~all,Not found,v=DMARC1; p=reject; rua=mailto:waxlpmrg@ag.eu.dmarcian.com;
irishluck.ie,Live (HTTP),v=spf1 include:spf.migadu.com -all,Not found,v=DMARC1; p=none; pct=100; rua=mailto:dmarc@fbl.optin.com,mailto:rua@dmarc.brevo.com;
huntoffice.ie,Live (HTTP),v=spf1 include:spf.mailjet.com include:spf.protection.outlook.com mx a include:sendgrid.net -all,Not found,v=DMARC1; p=quarantine; pct=100
nationalgallery.ie,Live (HTTP),v=spf1 include:spf.mandrillapp.com -all,Not found,Not found
partydelights.ie,Live (HTTP),v=spf1 a mx include:spf.logicalware.com include:spf-0067e901.pphosted.com ~all,Not found,v=DMARC1; p=none; rua=mailto:core@thewondergroup.com
scoilnet.ie,Live (HTTPS),v=spf1 include:_spf.google.com a:smtp-senders.scoilnet.ie include:spf.protection.outlook.com ~all,Not found,Not found
thegloss.ie,Live (HTTP),v=spf1 ip4:46.22.130.38 include:_spf.google.com ~all,Not found,v=DMARC1;p=none;
53degreesnorth.ie,Live (HTTP),v=spf1 include:_spf.mlsend.com ip4:86.47.59.33 ip4:87.198.208.222 ip4:89.101.82.234 ip4:89.101.112.30  include:spf.protection.outlook.com include:servers.mcsv.net include:mailgun.org ~all,Not found,v=DMARC1;p=quarantine;sp=quarantine;pct=100;ri=604800;aspf=r;adkim=r;fo=1
seai.ie,Live (HTTPS),v=spf1 ip4:137.191.235.70 include:spf.topsec.com include:spf.protection.outlook.com +ip4:52.209.222.127 include:servers.mcsv.net include:mailgun.org include:amazonses.com -all,Not found,v=DMARC1;p=quarantine;rua=mailto:dmarc_agg@vali.email,mailto:dmarc@seai.ie;ruf=mailto:dmarc@seai.ie.;fo=1;sp=none;
