Domain,Website Status,SPF,DKIM,DMARC
bannon.ie,Live (HTTP),v=spf1 include:_netblocks.mimecast.com include:cmail1.com include:_spf.createsend.com include:asp-spf1.yardi.com include:asp-spf2.yardi.com ~all,Not found,v=DMARC1; p=none; rua=mailto:7e410ab55013444@rep.dmarcanalyzer.com; ruf=mailto:7e410ab55013444@for.dmarcanalyzer.com; fo=1;
colliers.com,Live (HTTPS),Not found,Not found,_dmarc.colliers.com.dmarc.has.pphosted.com.v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com;
conneelybuilders.ie,Live (HTTP),v=spf1 include:spf.protection.outlook.com -all,Not found,Not found
gaietyschool.com,Live (HTTP),v=spf1 +a +mx +a:it36.siteground.eu  include:gaietyschool.com.spf.auto.dnssmarthost.net ~all,gaietyschool.com.default.dkim.auto.dnssmarthost.net.default._domainkey_1fc2240d43f60c3f9f40d4138e8822f9.dkim.dnssmarthost.net.v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA4AXcrUm5SCHPSAM/rx8gwp9VjLwC0Gr2cRDqxtbaSfssooQKOHhXkin/nmmhQMBMvp42I1PXqP7WJor1g8bOmSwDnj+ekVWMFipkLR2hyoGTRnfeM1A10lydCXIEhZ18xlp5qhlsyx3Vr0yao5DMrNH2VqrL+lPO/Rst4LDb/gSeQk44KgRUP8vCAEO3LZmal D1mNIiO6pCe5vWGc8Fdki7EVL7Rglfm/Tlu4iFeXDccKfPK0lWzC3cpkepDLVUwmrRPhCWevD5Q5Xcf1o/8abeD8Ak3DOchQD7rcKQn9rlnZEAP3mJwk2i+Y3rJkY7Kx0cQJ2ajy21nfF6K5gLGaQIDAQAB;,v=DMARC1; p=none; aspf=r; adkim=r;
afilias.info,Live (HTTP),v=spf1 include:pw7or2j8w4.powerspf.com ~all,Not found,v=DMARC1; p=none; rua=mailto:mb6wv3ayfl@rua.powerdmarc.com; ruf=mailto:mb6wv3ayfl@ruf.powerdmarc.com; fo=1;
granite.ie,Live (HTTP),v=spf1 include:_spf.google.com include:servers.mcsv.net include:teamworkdesk.com ~all,Not found,v=DMARC1; p=none; rua=mailto:cr7ekdlu@ag.eu.dmarcian.com; ruf=mailto:cr7ekdlu@fr.eu.dmarcian.com;
magnetnetworks.com,Live (HTTP),v=spf1 ip4:82.33.246.106/32 ip4:85.91.0.0/21 ip4:212.17.32.0/26 ip4:34.249.234.126/32 include:spf.protection.outlook.com include:salesforce.com include:et._spf.pardot.com ~all,Not found,Not found
mtld.mobi,No response,Not found,Not found,Not found
websense.com,No response,v=spf1 ip4:204.15.64.0/21 ip4:204.14.232.0/21 ip4:202.129.242.0/25 ip4:195.244.16.20/32 ip4:195.244.16.42/32 include:mailcontrol.com   include:cust-spf.exacttarget.com include:spf.braintreegateway.com include:_bhcc.websense.com include:mktomail.com include:_spf.vsn.voltage.com include:_spf.salesforce.com ~all,Not found,v=DMARC1;p=none;pct=100;rua=mailto:dmarc_reports@websense.com;ruf=mailto:dmarc_failures@websense.com
sonru.com,No response,Not found,Not found,Not found
tonykirwanplanthire.ie,Live (HTTP),v=spf1 include:spf.protection.outlook.com include:spf1.emailsecurity.app -all,v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAqyyLt0wn6mrLIT3G1omPMzsKyKJq9OVbbNJvIegZm5iJLtJLvYFnCDzs9jtR02CBRqLIAm6Bh7JGJoySvQ3w7qEOv+cuN0KncZrm4djC5WKli0LOHF0pgiEL8qiDKiTWztUeCTfSPn6W0lxR9599PgFS9sRqnW8quC+1iHSNcs7FgzUrnTCGVYuUeO8gwzFO6 Bdt/bli690eZUcmdFlcO/uoF1QWoSIGLXIepFezPbW6ODbbj62Shpgk7USUifbetjB1pN9C2QYjnqozxPHvyv56Kl1kYzmQH9+Rqymu4rN9vfVuYSz1uWwhhGCH+ZW5jYt9wcHFC1SylxYTVgLNjQIDAQAB;,v=DMARC1;p=none;sp=none;adkim=r;aspf=r;pct=100;fo=0;rf=afrf;ri=86400
parkwest.ie,No response,v=spf1 ip4:194.37.255.0/24 ip4:91.198.224.0/24  include:spf.protection.outlook.com include:outbound-smtp14.blacknight.com include:spf.topsec.com -all,Not found,Not found
stauntons.ie,Live (HTTP),v=spf1 a mx a:vms1.getonline.ie ~all,Not found,v=DMARC1; p=none
smcc.ie,No response,v=spf1 include:mail.zendesk.com include:em4453.smcc.ie include:em8797.smcc.ie include:_spf.psm.knowbe4.com include:spf.protection.outlook.com include:spf.exclaimer.net include:spf-00779101.pphosted.com -all,Not found,v=DMARC1; p=quarantine
bandf.ie,Live (HTTP),v=spf1 include:spf.protection.outlook.com include:spf.ess.de.barracudanetworks.com -all,Not found,Not found
donohoedrinks.com,Live (HTTP),v=spf1  ip4:83.71.203.1 ip4:195.7.41.97  include:spf.protection.outlook.com -all,Not found,v=DMARC1; p=quarantine; rua=mailto:it@donohoedrinks.com; sp=quarantine; aspf=r;
naturgy.ie,No response,Not found,Not found,Not found
joneseng.com,Live (HTTP),v=spf1 mx a ip4:82.141.197.144/28 ip4:212.2.171.32/28 ip4:86.47.136.200/29 ip4:82.141.240.208/29 ip4:134.213.217.143/32 ip4:212.147.141.179/32 ip4:78.153.200.208/32 include:_spf.salesforce.com include:spf.topsec.com include:spf.protection.outlook.com ip4: 54.229.2.165 -all,Not found,v=DMARC1;p=none;sp=none;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;fo=1;
wfl.ie,Live (HTTP),v=spf1 ip4:159.235.227.193 include:spf.protection.outlook.com -all,Not found,v=DMARC1; p=reject; sp=none; fo=1; pct=100;
ctsgroup.ie,Live (HTTP),v=spf1 a:mail.ctsgroup.ie ip4:86.43.73.9 ip4:93.107.121.35 ip4:89.106.141.206 include:spf.topsec.com include:spf.protection.outlook.com include:spf1.emailsecurity.app ~all,Not found,v=DMARC1; p=quarantine; rua=mailto:5ca671dd@mxtoolbox.DMARC-report.com,mailto:5ca671dd@mxtoolbox.dmarc-report.com; ruf=mailto:5ca671dd@forensics.DMARC-report.com,mailto:5ca671dd@forensics.dmarc-report.com; fo=1
pqe.ie,Live (HTTPS),v=spf1 include:spf.protection.outlook.com -all,Not found,v=DMARC1; p=quarantine 
fehilytimoney.ie,Live (HTTP),Not found,Not found,Not found
ocsireland.com,No response,v=spf1 include:spf.protection.outlook.com include:_spf.salesforce.com ~all,Not found,v=DMARC1; p=quarantine; pct=100; rua=mailto:cee87cbe@in.mailhardener.com
bmce.ie,Live (HTTP),v=spf1 ip4:89.101.125.242 include:spf.protection.outlook.com include:spf.mtaroutes.com ip4:78.153.218.39 ip6:2a01:a8:dc3:323:0:0:0:228 ~all,Not found,v=DMARC1; p=none; pct=100; fo=1; ri=3600; ruf=mailto:admin@bmce.ie;
instantupright.com,Live (HTTP),v=spf1 ip4:89.33.236.40 ip4:217.156.86.170 +a +mx +ip4:157.90.207.158 +ip4:148.251.17.126 +ip4:89.46.6.12 +ip4:31.14.12.93 +ip4:188.34.132.206 +include:spf.protection.outlook.com ~all,v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAxJlfV1TqXUFmSdUezvCyy7hU2r1XhbQjIAk22vHumMwnfUPJ/TI1LY7pcq2PgNN0ub6Iy4BB63MWTfTMfNyope0Q0gTngCFx/x6n1w4H+12J4kKwAnUEe2ew17JWGBYxlabAizvJJGJk9iDLR/hSEEvNe6KNpn8ufabqf1on7nltuL28Kh8z9zdev6K8Q+8sn Gp6QcCmPFojue1qeQuKUXbImXWYMBan79jIw5P/AQ2kQMb0cmPzn1ILlLRr6LH3gBAShrS/ibutcMlsI7Tbc0aLoP1ghA7o1pET+EobnyknhQgoVuNoaaEsQxiy0TnVUku3koHeRSc/fPaXbVnwDQIDAQAB;,v=DMARC1; p=none; rua=mailto:rua@dmarc.brevo.com
ricoh.ie,Live (HTTP),v=spf1 include:spfa.ricoh.ie include:spfb.ricoh.ie include:spfc.ricoh.ie include:spfd.ricoh.ie include:spf.protection.outlook.com include:_netblocks.eloqua.com ~all,Not found,v=DMARC1; p=quarantine; rua=mailto:dmarc_agg@vali.email
fingleton.ie,Live (HTTP),v=spf1 ip4:93.107.48.177 include:sendgrid.net include:smtp2go.net include:spf.protection.outlook.com ~all,Not found,v=DMARC1; p=quarantine; rua=mailto:fwadmin@fingleton.ie; ruf=mailto:fwadmin@fingleton.ie; fo=1
wme.ie,Live (HTTP),v=spf1 ip4:88.81.127.118 a:spamtitan.aniar.ie include:spf.protection.outlook.com -all,Not found,Not found
mds-int.net,Live (HTTPS),v=spf1 ip6:fdcf:abda:4154::/48 -all,v=spf1 ip6:fdcf:abda:4154::/48 -all,v=spf1 ip6:fdcf:abda:4154::/48 -all
sepam.com,Live (HTTP),v=spf1 include:spf.protection.outlook.com include:_spf.bullhornmail.com -all,Not found,v=DMARC1;p=none;pct=100;rua=mailto:itadmin@sepam.com;ruf=mailto:itadmin@sepam.com;ri=86400;aspf=r;adkim=r;fo=1
tullowoil.com,No response,v=spf1 ip4:146.177.56.171 include:spf.protection.outlook.com include:_spf.psm.knowbe4.com a:b.spf.service-now.com a:c.spf.service-now.com a:d.spf.service-now.com -all,Not found,v=DMARC1; p=reject; rua=mailto:l5cepqur@ag.eu.dmarcadvisor.com; ruf=mailto:dmarcforensics@tullowoil.com;
astonswealth.ie,No response,Not found,Not found,Not found
duffandphelps.com,Live (HTTPS),Not found,Not found,v=DMARC1; p=reject; fo=1; rua=mailto:61d8746384f3986@rep.dmarcanalyzer.com; ruf=mailto:61d8746384f3986@for.dmarcanalyzer.com
firstderivatives.com,Live (HTTP),Not found,Not found,v=DMARC1; p=none; pct=100; fo=1; ri=3600; rua=mailto:8d431987@inbox.ondmarc.com; ruf=mailto:8d431987@inbox.ondmarc.com; 
genevatrading.com,Live (HTTP),v=spf1 include:spf.protection.outlook.com include:spf-002ca501.pphosted.com ip4:38.32.97.155/32 ip4:184.105.249.139/32 -all,Not found,v=DMARC1; p=reject; rua=mailto:dmarc_agg@vali.email; fo=1; pct=100
oranmorelodgehotel.ie,Live (HTTP),v=spf1 ip4:185.43.232.196 ip4:78.137.164.92 ip4:78.137.164.122 +a +mx +include:relay.mailchannels.net ~all,v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA4VmphIyLbx4fAYAgnjGWvEeDoqr+ruBpBLMKv6hd5md96yyiDHSgTFxjmCP/a6JmiiV+HIJtw3M2pZFIt6AH6BtbLLtZtT6INd+uvv5QMALRN13W0rXwtH+FtT++rHdOukIYomI3hzvbDKnVWBsWxOTX0lthpmxZzNcEGzx9TdWyxD9pHz2RAmRWMEHecP6PF Hm1LVAgYvItp2wKXYNKeNNpdI2b7TlzbaHYeSCZAFPgN3BQfH+MtpaQIXkUXk/IIfu8emzF49TLW3Vkp1iwYHSZPBGTAokXtKs9eRHOyseL4kSa+AaBLTXEOIheoPn7tEZTcrUF0Rv/CVN3AnvLwQIDAQAB;,Not found
aquadome.ie,Live (HTTP),v=spf1 +a +mx include:aquadome.ie.spf.auto.dnssmarthost.net ~all,aquadome.ie.default.dkim.auto.dnssmarthost.net.default._domainkey_33644e6c6f0ae01604468ce33b79f521.dkim.dnssmarthost.net.v=DKIM1; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDS+jrOMK4MNYpshE9cb5QxfvuNsUGAuN90i9SQa5I7ilsvYDqpd74YpAUWsVQkVRUNHaVH9fw4DdAx8j3ii7EsIQBe6Cb/bllmZLdiwXpWzxXXQ5SzZKeXaWRPVNooycvT8jhbRQgl43RHtSs5bFXj+eS/dnW/H0GVNZ5jbVTOGwIDAQAB;,v=DMARC1; p=none; aspf=r; adkim=r;
auraleisure.ie,Live (HTTP),v=spf1 include:spf.reg365.net include:_spf.elasticemail.com ~all,Not found,v=DMARC1;p=none;
whitford.ie,Live (HTTP),v=spf1 ip4:190.180.144.248 ip4:91.136.49.205 ip4:86.41.245.112 include:spf.protection.outlook.com include:netaffinity.net -all,v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA9ForYWQ8tQDe1KV9SBd6CZlN+iWVouAx4oJsWicCs+aVG6n/xjyqVGAcuC3hdcuuzVE97dJg4h3vWJDCHnff53hN5QhIAQEqpQpvj7FHDFm7mgnM4P5Gwn/ipXj19wR6MFyvoWCYVYXmO1xfoYnRoq3Q1Ar8opTbalkam3mZrWFY9anmYJmP82ek2UsXbrvIR zOnx2u9MIXVHB6Vsvj3KyiAcIe2rn4i4XwRd0RwhSd5ZZx43F/b5Sglqalw3/9EUnmH6k52sY/rbzMNBMTcTQEApV99F78ZjB+zmvzabFbzJ7ZrPgsJkTU8cLPwYFCaBAN/4S6EjYg3vqFosQljwQIDAQAB;,Not found
