Domain,Website Status,SPF,DKIM,DMARC
irishmirror.ie,Live (HTTPS),v=spf1 mx ptr include:servers.mcsv.net ~all,Not found,Not found
www.gov.ie,Live (HTTP),Not found,Not found,Not found
daft.ie,Live (HTTP),v=spf1 ip4:54.220.220.162 include:servers.mcsv.net include:_spf.google.com include:_spf.salesforce.com include:spf.mandrillapp.com include:sparkpostmail.com include:mail.zendesk.com -all,Not found,v=DMARC1; p=quarantine; pct=100; fo=1:d:s; ruf=mailto:ruf.reports@daft.ie; rua=mailto:478d35d81a2c4aa0a59d65a319c151ea@dmarc-reports.cloudflare.net;
aib.ie,Live (HTTPS),v=spf1 include:aib.ie._nspf.vali.email include:%{i}._ip.%{h}._ehlo.%{d}._spf.vali.email ~all,Not found,v=DMARC1; p=reject; rua=mailto:dmarc_agg@vali.email
ucc.ie,Live (HTTP),v=spf1 ip4:143.239.24.49 ip4:143.239.24.50 include:spf.protection.outlook.com -all,Not found,v=DMARC1;  p=reject; sp=quarantine; rua=mailto:z09tjnba@ag.eu.dmarcian.com,mailto:dmarc@ucc.ie; ruf=mailto:dmarc@ucc.ie; fo=1
ros.ie,Live (HTTPS),Not found,Not found,Not found
epiccare.ie,Live (HTTP),v=spf1 include:spf.protection.outlook.com include:spf.ess.uk.barracudanetworks.com include:spf.blacknight.ie -all,Not found,v=DMARC1; p=none; fo=1; rua=mailto:rua+epiccare.ie@dmarc.barracudanetworks.com; ruf=mailto:ruf+epiccare.ie@dmarc.barracudanetworks.com
rufus.ie,Live (HTTP),Not found,Not found,Not found
ebay.ie,Live (HTTP),v=spf1 mx include:s._spf.ebay.com include:p._spf.ebay.com include:c._spf.ebay.com ~all,Not found,v=DMARC1; p=reject; rua=mailto:ebay@rua.agari.com; ruf=mailto:ebay@ruf.agari.com; fo=1; rf=afrf; pct=100
mypurecloud.ie,Live (HTTP),v=spf1 mx include:amazonses.com ~all,Not found,v=DMARC1;p=quarantine
hse.ie,Live (HTTPS),v=spf1 include:spf.topsec.com include:spf.protection.outlook.com include:spf1.hse.ie include:spf2.hse.ie -all,Not found,v=DMARC1;p=reject;sp=none;rua=mailto:211a5a2e44@rua.easydmarc.eu;ruf=mailto:211a5a2e44@ruf.easydmarc.eu;fo=1
dcu.ie,Live (HTTP),v=spf1 include:_spf.google.com ip4:136.206.1.100 ip4:198.187.196.100 ip4:193.120.143.134 include:spf-eu.exlibrisgroup.com include:spf.protection.outlook.com include:mail.zendesk.com ~all,Not found,v=DMARC1; p=reject; rua=mailto:dmarc@dcu.ie, mailto:xp52vxju@ag.eu.dmarcian.com
breakingnews.ie,No response,Not found,Not found,v=DMARC1; p=reject; pct=100; rua=mailto:e8014602@mxtoolbox.dmarc-report.com; ruf=mailto:e8014602@forensics.dmarc-report.com; fo=1
dataprotection.ie,Live (HTTP),v=spf1 include:fusio.net include:jsec.ie -all,Not found,Not found
tripadvisor.ie,Live (HTTP),v=spf1 include:_spf.tripadvisor.com ~all,Not found,v=DMARC1; p=reject; rua=mailto:dmarc-rua@tripadvisor.com; ruf=mailto:dmarc-ruf@tripadvisor.com
ul.ie,Live (HTTP),v=spf1 ip4:139.60.152.0/22 include:spf.protection.outlook.com include:spf.topdesk.net ip4:195.154.27.41 ip4:149.202.76.209 ip4:193.120.142.176 ip4:193.120.143.134 ip4:193.120.143.138 ip4:193.1.100.0/21 include:spf1.ul.ie -all,Not found,v=DMARC1; p=quarantine; rua=mailto:dmarc_reporting@ul.ie;
ticketmaster.ie,Live (HTTP),v=spf1 mx include:europe.spf.ticketmaster.com include:production.spf.ticketmaster.com include:mail.zendesk.com include:spf.prot ection.outlook.com ~all,Not found,v=DMARC1; p=quarantine; rua=mailto:dmarc_agg@vali.email;
very.ie,No response,v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com ~all,Not found,_dmarc.very.ie.dmarc.has.pphosted.com.v=DMARC1; p=reject; fo=1; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com;
adverts.ie,No response,v=spf1 include:_spf.google.com include:amazonses.com -all,Not found,v=DMARC1; p=quarantine; pct=100; sp=reject; rua=mailto:ee1d4de72df140ce9e3e1144dfe9827d@dmarc-reports.cloudflare.net;
dublinlive.ie,Live (HTTPS),v=spf1 include:_spf.google.com ~all,Not found,v=DMARC1; p=quarantine; sp=quarantine; rua=mailto:dmarc@dublinlive.ie; adkim=r; aspf=s
revenue.ie,Live (HTTP),v=spf1 mx include:spf.protection.outlook.com ip4:137.191.250.132 ip4:137.191.241.164 ip4:194.165.190.106 -all,Not found,v=DMARC1; p=none; pct=100; rua=mailto:dmarc-rua@revenue.ie
maps.ie,Live (HTTP),v=spf1 a mx include:websitewelcome.com ~all,Not found,v=DMARC1; p=none; rua=mailto:22e20d449197410cbc82057764eda0ac@dmarc-reports.cloudflare.net
entertainment.ie,Live (HTTP),v=spf1 a ip4:82.195.132.87 include:servers.mcsv.net ?all,Not found,Not found
just-eat.ie,Live (HTTP),v=spf1 include:_spf.just-eat.co.uk -all,Not found,v=DMARC1; p=reject; rua=mailto:dmarcreports@takeaway.com; ruf=mailto:dmarcreports@takeaway.com; fo=1
joe.ie,Live (HTTP),v=spf1 include:spf.protection.outlook.com include:_spf.google.com include:sendgrid.net include:spf.EU.exclaimer.net ~all,Not found,v=DMARC1;  p=none; rua=mailto:9b86a8ae33a7444595ad70dbb328be32@dmarc-reports.cloudflare.net
citizensinformation.ie,No response,v=spf1 include:spf.protection.outlook.com -all,Not found,v=DMARC1; p=reject; pct=100; rua=mailto:dmsqjy1g@ag.eu.dmarcian.com; ruf=mailto:dmsqjy1g@fr.eu.dmarcian.com; sp=reject; fo=1;
elverys.ie,Live (HTTP),v=spf1 a mx ip4:185.57.113.74 ip4:82.141.205.1 ip4:62.209.54.82 ip4:62.209.54.83 ip4:62.209.54.84 include:spf.mailanyone.net include:spf.mandrillapp.com include:mail.zendesk.com include:spf.protection.outlook.com include:spf.givex.com -all,Not found,v=DMARC1; p=none; rua=mailto:dmarcreports@elverys.ie
irishrail.ie,Live (HTTP),v=spf1 ip4:194.106.151.242 include:_netblocks.mimecast.com include:spf.protection.outlook.com include:mktomail.com include:amazonses.com include:spf.amris.com include:spf_c.oraclecloud.com -all,Not found,v=DMARC1; p=reject; rua=mailto:1682ed89ae77559@rep.dmarcanalyzer.com; ruf=mailto:1682ed89ae77559@for.dmarcanalyzer.com; fo=1;
evoke.ie,Live (HTTP),v=spf1 include:amazonses.com include:spf.protection.outlook.com include:spf.mandrillapp.com include:servers.mcsv.net -all,Not found,v=DMARC1; p=reject; rua=mailto:6c46e6998a6d330@rep.dmarcanalyzer.com; ruf=mailto:6c46e6998a6d330@for.dmarcanalyzer.com; fo=1;
interactivebrokers.ie,Live (HTTP),v=spf1 include:_spf.fireeyecloud.com include:spf.protection.outlook.com include:spfext.ibkr.com -all,Not found,v=DMARC1; p=none; rua=mailto:dmarc_rua@interactivebrokers.ie; ruf=mailto:dmarc_ruf@interactivebrokers.ie; fo=1; pct=100; adkim=r; aspf=r
universityofgalway.ie,Live (HTTP),v=spf1 ip4:95.172.90.143 ip4:95.172.90.156 ip4:206.132.28.57 ip4:92.52.102.162 ip4:206.132.28.20 ip4:140.203.202.74  include:spf.protection.outlook.com ip4:82.195.135.109 ip4:147.197.215.112 ip4:80.93.26.177 include:listserv.heanet.ie include:spf-eu.exlibrisgroup.com ip4:46.249.61.0/24  ip4:193.120.143.134 ip4:193.120.143.165 ip4:193.120.142.176 ip4:193.120.252.86 include:servers.mcsv.net ip4:149.72.228.91 include:_spf.distribution.vueliopm.com ~all,Not found,v=DMARC1; p=quarantine; rua=mailto:DMARC@universityofgalway.ie;
boards.ie,Live (HTTP),v=spf1 ip4:208.117.49.186  include:amazonses.com -all,Not found,v=DMARC1; p=quarantine; pct=50; rua=mailto:oiwpvb1g@ag.dmarcian-eu.com;
screwfix.ie,Live (HTTPS),v=spf1 include:spf.protection.outlook.com include:amazonses.com -all,Not found,v=DMARC1; p=reject; rua=mailto:102b7a32a370252@rep.dmarcanalyzer.com; ruf=mailto:102b7a32a370252@for.dmarcanalyzer.com; fo=1;
boots.ie,Live (HTTP),v=spf1 mx exists:%{i}.spf.WBA.c3s2.iphmx.com include:spf.protection.outlook.com ~all,Not found,v=DMARC1; p=none; rua=mailto:6193e7442fb3728@rep.dmarcanalyzer.com,mailto:dmarc@wbaoneit.com; ruf=mailto:6193e7442fb3728@for.dmarcanalyzer.com,mailto:dmarc@wbaoneit.com; fo=1;
limerickleader.ie,Live (HTTP),v=spf1 ip4:195.59.103.140/30 ip4:195.59.103.208/29 include:_spf.google.com include:maxemail.emailcenteruk.com include:servers.mcsv.net -all,Not found,Not found
met.ie,Live (HTTP),v=spf1 ip4:137.191.237.80/28 ip4:137.191.228.112/28 include:spf.protection.outlook.com -all,Not found,v=DMARC1; p=quarantine; rua=mailto:itops@met.ie; ruf=mailto:itops@met.ie; fo=1;
tesco.ie,No response,v=spf1 include:spf-00492d01.pphosted.com ip4:212.140.180.250 include:spf.mtasv.net include:servers.mcsv.net ip4:212.140.187.24 ip4:212.140.189.59 ip4:93.91.28.54 ip4:94.125.18.60/31 -all,Not found,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com
myhome.ie,Live (HTTP),Not found,Not found,v=DMARC1; p=none;
irishjobs.ie,Live (HTTP),Not found,Not found,v=DMARC1; p=none; rua=mailto:e3805f1a6f24587@rep.dmarcanalyzer.com; ruf=mailto:e3805f1a6f24587@for.dmarcanalyzer.com; fo=1
extra.ie,Live (HTTP),Not found,Not found,v=DMARC1; p=reject; rua=mailto:6c46e6998a6d330@rep.dmarcanalyzer.com; ruf=mailto:6c46e6998a6d330@for.dmarcanalyzer.com; fo=1;
nuigalway.ie,Live (HTTP),Not found,Not found,v=DMARC1; p=quarantine; rua=mailto:DMARC@universityofgalway.ie;
dfa.ie,Live (HTTPS),Not found,Not found,v=DMARC1; p=none; rua=mailto:demarkreports@dfa.ie,mailto:c51ff3cfbb@rua.easydmarc.eu; ruf=mailto:demarkreports@dfa.ie,mailto:c51ff3cfbb@ruf.easydmarc.eu; sp=none; fo=1; ri=86400
balls.ie,Live (HTTP),v=spf1 include:_spf.google.com ~all,Not found,v=DMARC1; p=quarantine; rua=mailto:brian@balls.ie
lottery.ie,Live (HTTPS),Not found,Not found,v=DMARC1; p=quarantine; rua=mailto:h9pgmkye@ag.dmarcian.eu; ruf=mailto:h9pgmkye@fr.dmarcian.eu;
next.ie,Live (HTTP),v=spf1 -all,Not found,v=DMARC1; p=reject; pct=100; sp=reject; rua=mailto:b47e7205@inbox.ondmarc.com; ruf=mailto:b47e7205@inbox.ondmarc.com; adkim=r; aspf=r; fo=0; rf=afrf; ri=3600
rsvplive.ie,Live (HTTPS),v=spf1 include:_spf.google.com ~all,Not found,v=DMARC1; p=quarantine; sp=quarantine; rua=mailto:dmarc@rsvplive.ie; adkim=r; aspf=s
corkbeo.ie,Live (HTTPS),v=spf1 include:_spf.google.com ~all,Not found,v=DMARC1; p=quarantine; sp=quarantine; rua=mailto:dmarc@corkbeo.ie; adkim=r; aspf=s
homestoreandmore.ie,Live (HTTP),v=spf1 ip4:194.145.2.71 ip4:213.174.201.221/30 ip4:188.65.116.179 include:spf.mailjet.com include:mail.zendesk.com include:spf.ess.de.barracudanetworks.com include:wappmail.com include:_spf.salesforce.com a:production.eu01.homestoremore.demandware.ne t -all,Not found,v=DMARC1;p=quarantine;rua=mailto:dmarc@homestoreandmore.ie;ruf=mailto:dmarc@homestoreandmore.ie;fo=1;adkim=r;aspf=r
echolive.ie,Live (HTTP),Not found,Not found,Not found
currys.ie,No response,v=spf1 include:_spfa.currys.ie include:_spfb.currys.ie include:spf.protection.outlook.com include:cpw.spf.verinthms.com include:spf.flowmailer.net -all,Not found,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:dixons-carphone@rua.agari.com,mailto:dmarc@inbound.flowmailer.net,mailto:postmaster@currys.ie; ruf=mailto:dixons-carphone@ruf.agari.com,mailto:dmarc@inbound.flowmailer.net,mailto:postmaster@currys.ie
maynoothuniversity.ie,Live (HTTP),v=spf1 include:spf.protection.outlook.com ip4:149.157.0.0/22 ip4:149.157.7.0/24 ip4:149.157.67.0/24 ip4:65.52.155.116 -all,Not found,Not found
harveynorman.ie,Live (HTTP),v=spf1 include:au._netblocks.mimecast.com ~all,Not found,v=DMARC1; p=quarantine; pct=100; fo=1; rua=mailto:admrpt@harveynorman.ie; ruf=mailto:admrpt@harveynorman.ie
jdsports.ie,Live (HTTP),v=spf1 a include:mail.fp-sign.com ip4:83.246.89.68/32 include:amazonses.com include:mail.zendesk.com include:mailgun.org ~all,Not found,v=DMARC1; p=none; pct=100; rua=mailto:dmarc@jdplc.com; ruf=mailto:dmarc@jdplc.com; fo=1
skyscanner.ie,Live (HTTPS),v=spf1 include:spf.protection.outlook.com -all,Not found,_dmarc.skyscanner.net.v=DMARC1; p=reject; rua=mailto:dmarc_agg@skyscanner.net; ruf=mailto:dmarc_fr@skyscanner.net; fo=1; pct=100;
agriland.ie,Live (HTTP),v=spf1 +a +mx +ip4:52.212.115.83 include:spf.sendinblue.com include:spf.protection.outlook.com include:spf-eu.emailsignatures365.com include:spf.emailsignatures365.com ~all,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDeegHdzQUD7FpS00gyh4P9CVuHfG7wkdvJVttr25a4cN4U3brOdOPzofeA9UGmbzMJvudRDkLUyio1ZA2DzZwP04GDcc0dzPG37QwNK72zg/OEjB9NE9EtewqgU2iqudSyh2vPf5952sWbY+9kzG/QOP4EcN4m2Z1GguEaZ4YkWQIDAQAB;,v=DMARC1; p=none;
cso.ie,Live (HTTPS),v=spf1 ip4:137.191.243.106 ip4:137.191.243.101 ip4:137.191.243.97 include:spf.topsec.com include:amazonses.com include:spf.protection.outlook.com include:_spf.mlsend.com -all,Not found,v=DMARC1; p=reject; rua=mailto:postmaster@cso.ie,mailto:cso_ie@rua.netcraft.com; ruf=mailto:postmaster@cso.ie,mailto:cso_ie@ruf.netcraft.com; fo=1; adkim=r; aspf=r; pct=100; rf=afrf; ri=86400
irishgenealogy.ie,Live (HTTP),Not found,Not found,Not found
irishstatutebook.ie,No response,Not found,Not found,Not found
dogs.ie,Live (HTTP),v=spf1 a ip4:46.22.135.49 include:teamworkdesk.com include:amazonses.com include:mg.dogs.ie include:_spf.google.com -all,v=DKIM1; k=rsa;p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQC0XyWgMOfcTU+Wh0iS/RuYYLRRDbHaXfrLhmtuSNYxJ1xw9xHrR9N0NVc8TlGL1robklGIlCZbWdW5Q/rKouiELaXImahIH4dYkAm4yJY/vO9drNvT9A04J4SkcPMhpfyxlF0tl5VlmZiF5LA4gKz96vjcyK0gAnVx1q+rigYnswIDAQAB,v=DMARC1; p=reject;
galwaybeo.ie,Live (HTTPS),v=spf1 include:_spf.google.com ~all,Not found,v=DMARC1; p=quarantine; sp=quarantine; rua=mailto:dmarc@galwaybeo.ie; adkim=r; aspf=s
kilkennypeople.ie,Live (HTTP),v=spf1 ip4:195.59.103.140/30 ip4:195.59.103.208/29 include:_spf.google.com include:maxemail.emailcenteruk.com include:servers.mcsv.net -all,Not found,Not found
midwestradio.ie,Live (HTTPS),v=spf1 mx a ip4:34.240.154.162 ip4:51.91.160.211 ip4:86.47.33.44 ~all,Not found,v=DMARC1; p=none; rua=mailto:mdaemon@midwestradio.ie
grireland.ie,Live (HTTPS),v=spf1 ip4:159.183.79.53 ip4:54.246.225.76 ip4:54.246.225.97 ip4:208.73.7.181  include:spf.protection.outlook.com include:spf.ess.uk.barracudanetworks.com include:cust-spf.exacttarget.com include:spf.resdiary.com include:sendgrid.net -all,Not found,v=DMARC1; p=none; rua=mailto:dmarc_agg@vali.email;pct=100; rua=mailto:dmarc@grireland.ie, ruf=mailto:dmarc@grireland.ie; fo=1;;adkim=r;aspf=r
vinted.ie,Live (HTTP),v=spf1 ip4:185.68.38.0/24 ip4:185.175.192.0/22 ip4:185.68.36.0/24 ip4:185.68.37.0/24 include:amazonses.com include:_spf.google.com -all,Not found,v=DMARC1; p=quarantine; pct=100; rua=mailto:dmarc-reports@vinted.com;
mygovid.ie,Live (HTTPS),v=spf1 include:spf.protection.outlook.com include:_spf.circulator.com include:_spf2.circulator.com a:mail1.welfare.ie ip4:193.178.95.14 include:_spf-ssg-a.microsoft.com ~all,Not found,v=DMARC1; p=none; rua=mailto:e469da9c3a54521@rep.dmarcanalyzer.com; ruf=mailto:e469da9c3a54521@for.dmarcanalyzer.com; fo=1;
offalyexpress.ie,Live (HTTP),v=spf1 ip4:195.59.103.140/30 ip4:195.59.103.208/29 include:_spf.google.com include:maxemail.emailcenteruk.com include:servers.mcsv.net -all,Not found,Not found
oireachtas.ie,Live (HTTPS),v=spf1 mx ip4:108.128.104.125 ip4:52.31.245.96 ip4:34.253.70.226 ip4:137.191.234.106 ip4:137.191.234.105 ip4:137.191.236.142 include:spf.sendinblue.com include:spf.protection.outlook.com include:amazonses.com include:sendgrid.net include:servers.mcsv .net -all,Not found,v=DMARC1; p=reject; rua=mailto:dmarc_agg@vali.email; fo=s;
jysk.ie,Live (HTTP),v=spf1 -all,Not found,v=DMARC1; p=reject; pct=100; rua=mailto:dmarc@jysk.com
halfords.ie,Live (HTTP),v=spf1 include:production.eu01.halfords.demandware.net a:production.eu01.halfords.demandware.net ?all,Not found,Not found
omniplex.ie,Live (HTTP),v=spf1 a mx include:_spf.google.com include:amazonses.com include:spf.protection.outlook.com  include:mail.zendesk.com  ip4:87.117.199.62 ip4:78.109.162.103 ip4:78.137.160.143 include:spf.showtimeanalytics.com ~all,Not found,v=DMARC1; p=quarantine
mywelfare.ie,Live (HTTPS),v=spf1 include:spf.mailjet.com include:_spf.circulator.com include:_spf2.circulator.com ip4:193.178.95.14 a:mail1.welfare.ie  ~all,Not found,v=DMARC1; p=reject; ruf=mailto:e469da9c3a54521@for.dmarcanalyzer.com; fo=1;
jobs.ie,Live (HTTP),v=spf1 include:stepstone.com include:spf.protection.outlook.com a:dc3.bigmachines.com ip4:18.196.229.239 ip4:3.121.95.49 ip4:81.246.126.149 ip4:81.246.126.150 ip4:208.73.7.175 include:_spf.salesforce.com -all,Not found,v=DMARC1; p=none; rua=mailto:e3805f1a6f24587@rep.dmarcanalyzer.com; ruf=mailto:e3805f1a6f24587@for.dmarcanalyzer.com; fo=1
decathlon.ie,Live (HTTP),v=spf1 include:amazonses.com include:_spf.sent2email.com include:mailgun.org ~all,Not found,v=DMARC1; p=none; rua=mailto:dmarc+decathlon.com@retailrocket.net,mailto:postmaster.dmarc@decathlon.com; ruf=mailto:dmarc+decathlon.com@retailrocket.net,mailto:postmaster.dmarc@decathlon.com
tudublin.ie,Live (HTTP),v=spf1 include:spf.protection.outlook.com include:spf1.tudublin.ie include:spf2.tudublin.ie include:spf3.tudublin.ie include:spf.elluciancloud.com include:mail.zendesk.com include:_spf.createsend.com include:a._spf.brightspace.com -all,Not found,v=DMARC1; p=reject; rua=mailto:xydjhcdp@ag.eu.dmarcian.com;
loveholidays.ie,Live (HTTP),v=spf1 include:spf.protection.outlook.com -all,Not found,Not found
mandmdirect.ie,Live (HTTP),v=spf1 include:spf-002bfb01.pphosted.com ~all,Not found,v=DMARC1; p=reject; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com;fo=1
childpaths.ie,Live (HTTP),v=spf1 +a +mx +ip4:91.210.232.8 include:spf.webhostingireland.ie +ip4:185.43.232.251 +include:zcsend.net ~allv=spf1 +a +mx +ip4:91.210.232.8 include:spf.webhostingireland.ie +ip4:185.43.232.251 +a:app.childpaths.ie +include:_spf.google.com ~allv=spf1 +a +mx +ip4:91.210.232.8 include:spf.webhostingireland.ie +ip4:185.43.232.251 +include:one.zoho.com ~all,Not found,Not found
airbnb.ie,Live (HTTPS),v=spf1 -all,Not found,v=DMARC1;p=reject;sp=reject;pct=100;rua=mailto:a4v1jq9a@ag.dmarcian.com;ruf=mailto:a4v1jq9a@fr.dmarcian.com;aspf=r;adkim=r;fo=1;ri=3600
locanto.ie,No response,v=spf1 ip4:91.203.100.0/22 a mx include:_spf.google.com ~all,Not found,v=DMARC1; p=quarantine; pct=100; adkim=r; aspf=r;
three.ie,Live (HTTP),v=spf1 ip4:62.40.38.69 ip4:18.168.51.200 ip4:18.168.140.58 a:ironport.three.ie include:amazonses.com include:spf.protection.outlook.com include:spf.mandrillapp.com include:eu.khoros-mail.com include:_spf.salesforce.com ~all,Not found,v=DMARC1; p=none; fo=1; rua=mailto:three@rua.netcraft.com; ruf=mailto:three@ruf.netcraft.com
donegallive.ie,Live (HTTP),v=spf1 ip4:66.102.128.96 ip4:190.180.144.248 ip4:91.136.49.205 ip4:207.55.255.20 +a +mx ~all,v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAzV7JG92OqHNG0UWsaxVHaS/XFYpBsv3zgaksHryjYd9cUYpvdV4tf6KEOWUToaEJ6PFg70+PTrdZFLyd/A2yhNLPPFqeYzR5uXvPkDOMp1YEvkoW9GPMbwEczH+P0Yt8mZqqMx8eN8Ko36J9sfecHPiV3ctxxPldXqAXNGJCpP6UAwspiLI9fSDa9UEe9ZyAm ZvnBTRlZfM72bz5ocusqR8gu4sIzrb+AqW+EM9lPyppx761GICVFcNYo9/OeXXjeQfFJ63Jld4qeC6iLKKARo721AvyrNRcsOfbUeCUxFRLXpgxTSQPLxz9OYX8NKprwPYM3Mmwpvqpc77dBHQZ7QIDAQAB;,Not found
emp.ie,Live (HTTP),v=spf1 include:de._netblocks.mimecast.com include:amazonses.com ~all,Not found,v=DMARC1; p=reject; rua=mailto:22f629d9e0ea718@rep.dmarcanalyzer.com; ruf=mailto:22f629d9e0ea718@for.dmarcanalyzer.com; fo=1;
glassdoor.ie,No response,v=spf1 include:_spf.google.com -all,Not found,v=DMARC1; p=reject; rua=mailto:postmaster@glassdoor.com;
tipperarylive.ie,Live (HTTP),v=spf1 ip4:195.59.103.140/30 ip4:195.59.103.208/29 include:_spf.google.com include:maxemail.emailcenteruk.com include:servers.mcsv.net -all,Not found,Not found
ireland.ie,No response,Not found,Not found,Not found
centralbank.ie,Live (HTTP),v=spf1 mx ip4:217.182.232.170/32 ~all,Not found,v=DMARC1; p=quarantine; fo=1; rua=mailto:dmarc@centralbank.ie; ruf=mailto:dmarc@centralbank.ie; adkim=r
lidl.ie,Live (HTTP),v=spf1 include:_spfg.mail.schwarz ip4:94.236.83.186 ip4:52.58.140.247 ip4:52.58.125.153 ip4:52.58.101.176 ip4:52.58.71.98 ip4:52.58.208.11 ip4:52.58.208.17 ip4:52.28.33.180 ip4:52.29.33.71 ip4:81.246.117.64/26 ip4:81.246.126.128/25 ip4:91.183.148.64/ 27 ip4:217.111.201.64/28 ip4:212.35.104.128/26 ip4:212.35.104.176/28 ip4:185.145.13.98 -all,Not found,v=DMARC1;p=reject;adkim=r;aspf=r;rua=mailto:schwarz-dmarc-rua@sasms.mail.schwarz
